Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,IMDB Link,5 Star Rating,,,1242,1418,1286
The Dream Team,6/28/2022,Jim,7,7,7,7,1989,https://www.imdb.com/title/tt0097235/?ref_=nv_sr_srsg_1,3,Yes,,,,
Beavis and Butthead Do the Universe,Jon's B-day,Jon,8,8,10,9,2022,https://www.imdb.com/title/tt14145426/?ref_=nv_sr_srsg_0,4,No,,,,
Revealer,7/5/2022,Jon,3,2,3,3,2022,https://www.imdb.com/title/tt14661252/?ref_=nv_sr_srsg_0,1,No,,,,
The Natural,Phil's B-day,Phill,10,8,7,8,1984,https://www.imdb.com/title/tt0087781/?ref_=nv_sr_srsg_3,4,No,,,,
Remo Williams,7/12/2022,Phill,7,7,6,7,1985,https://www.imdb.com/title/tt0089901/?ref_=nv_sr_srsg_0,3,No,,,,
Villians,7/19/2022,Jim,7,6,6,6,2019,https://www.imdb.com/title/tt6378710/?ref_=nv_sr_srsg_2,3,No,,,,
Strawberry Mansion,7/26/2022,Jon,6,6,5,6,2021,https://www.imdb.com/title/tt11398346/?ref_=nv_sr_srsg_1,3,No,,,,
The Dry,8/2/2022,Phill,7,7,7,7,2020,,,Yes,,,,
The Stuff,8/9/2022,Jim,3,7,5,5,1985,,,No,,,,
Vengeance,8/16/2022,Jon,9,7,10,9,2022,,,No,,,,
The Northman,8/23/2022,Phill,7,7,4,6,2022,,,No,,,,
The Black Phone,8/30/2022,Jim,7,8,8,8,2021,,,No,,,,
What Josiah Saw,9/6/2022,Jon,5,6,6,6,2021,,,No,,,,
The Rocketeer,9/13/2022,Phill,6,7,6,6,1991,,,No,,,,
The Greasy Strangler,9/20/2022,Jim,2,10,6,6,2016,,,No,,,,
Popstar: Never Stop Never Stopping,9/27/2022,Jon,7,8,8,8,2016,,,No,,,,
Lady in White,10/4/2022,Phill,6,6,6,6,1988,,,Yes,,,,
Creep 2,10/11/2022,Jim,7,8,8,8,2017,,,No,,,,
Spirit Halloween,10/18/2022,Jon,4,2,4,3,2022,,,No,,,,
Hereditary,10/25/2022,Phill,6,7,9,7,2018,,,No,,,,
Mr. Harrigans Phone,11/1/2022,Jim,7,7,6,7,2022,,,No,,,,
Gifted,11/8/2022,Jon,6,7,7,7,2017,,,No,,,,
Hoosiers,11/15/2022,Phill,9,7,7,8,1986,,,No,,,,
Weird; The Al Yankovic Story,11/22/2022,Jim,6,9,8,8,2022,,,No,,,,
Snakes on a Plane,11/29/2022,Jon,6,7,6,6,2006,,,No,,,,
Scavenger Hunt,Jim's Bday,Jim,6,6,4,5,1979,,,No,,,,
Fred Claus,12/6/2022,Phill,7,7,9,8,2007,,,No,,,,
The Night They Saved Christmas,12/13/2022,Jim,6,9,7,7,1984,,,No,,,,
