Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,1333,@,TMDB_ID,Overview,Genres,Release Date,Vote Average,Vote Count,TMDb Link
The Greasy Strangler,9/20/2022,jim,2.0,10.0,6.0,6,2016.0,,,320413,"Ronnie runs a Disco walking tour with his son, Brayden. When a sexy woman takes the tour, it begins a competition between father and son for her love. It also signals the arrival of an oily strangler who stalks the streets at night.","Comedy, Horror, Thriller",2016-06-03,5.7,179,https://www.themoviedb.org/movie/320413
Popstar: Never Stop Never Stopping,9/27/2022,jon,7.0,8.0,8.0,8,2016.0,,,341012,"When his new album fails to sell records, pop/rap superstar Conner4real goes into a major tailspin and watches his celebrity high life begin to collapse. He'll try anything to bounce back, anything except reuniting with his old rap group The Style Boyz.","Comedy, Music",2016-06-03,6.624,1205,https://www.themoviedb.org/movie/341012
Lady in White,10/4/2022,phill,6.0,6.0,6.0,6,1988.0,,,49365,"Locked in a school closet during Halloween 1962, young Frank witnesses the ghost of a young girl and the man who murdered her years ago. Shortly afterward he finds himself stalked by the killer and is soon drawn to an old house where a mysterious Lady In White lives. As he discovers the secret of the woman he soon finds that the killer may be someone close to him.","Mystery, Horror, Thriller",1988-04-22,6.114,114,https://www.themoviedb.org/movie/49365
Creep 2,10/11/2022,jim,7.0,8.0,8.0,8,2017.0,,,396493,"After finding an ad online for “video work,” Sara, a video artist whose primary focus is creating intimacy with lonely men, thinks she may have found the subject of her dreams. She drives to a remote house in the forest and meets a man claiming to be a serial killer. Unable to resist the chance to create a truly shocking piece of art, she agrees to spend the day with him. However, as the day goes on, she discovers she may have dug herself into a hole from which she can’t escape.",Horror,2017-10-14,6.306,757,https://www.themoviedb.org/movie/396493
Spirit Halloween,10/18/2022,jon,4.0,2.0,4.0,3,2022.0,,,961427,A group of middle schoolers discover a Spirit Halloween store is haunted and must survive the night.,"Adventure, Family, Horror, Fantasy, Mystery",2022-09-30,5.948,77,https://www.themoviedb.org/movie/961427
Hereditary,10/25/2022,phill,6.0,7.0,9.0,7,2018.0,,,493922,"Following the death of Ellen Leigh, the matriarch of their family, her daughter Annie and the rest of the family start to uncover disturbing secrets about their heritage.  Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.","Horror, Mystery, Thriller",2018-06-07,7.29,7358,https://www.themoviedb.org/movie/493922
Mr. Harrigans Phone,11/1/2022,jim,7.0,7.0,6.0,7,2022.0,,,723419,"Craig, a young boy living in a small town befriends an older, reclusive billionaire, Mr. Harrigan. The two form a bond over books and an iPhone, but when the man passes away the boy discovers that not everything dead is gone.","Drama, Thriller, Horror, Mystery",2022-10-05,6.429,773,https://www.themoviedb.org/movie/723419
Gifted,11/8/2022,jon,6.0,7.0,7.0,7,2017.0,,,400928,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.","Drama, Comedy",2017-04-07,8.037,5269,https://www.themoviedb.org/movie/400928
Hoosiers,11/15/2022,phill,9.0,7.0,7.0,8,1986.0,,,5693,"Failed college coach Norman Dale gets a chance at redemption when he is hired to coach a high school basketball team in a tiny Indiana town. After a teacher persuades star player Jimmy Chitwood to quit and focus on his long-neglected studies, Dale struggles to develop a winning team in the face of community criticism for his temper and his unconventional choice of assistant coach: Shooter, a notorious alcoholic.","Drama, Family",1986-11-14,7.09,483,https://www.themoviedb.org/movie/5693
Weird; The Al Yankovic Story,11/22/2022,jim,6.0,9.0,8.0,8,2022.0,,,928344,"Exploring every facet of ‘Weird Al’ Yankovic’s life, from his meteoric rise to fame with early hits like ‘Eat It’ and ‘Like a Surgeon’ to his torrid celebrity love affairs and famously depraved lifestyle, this biopic takes audiences on a truly unbelievable journey through Yankovic’s life and career, from gifted child prodigy to the greatest musical legend of all time.","Music, Comedy, Crime",2022-09-08,6.7,387,https://www.themoviedb.org/movie/928344
Snakes on a Plane,11/29/2022,jon,6.0,7.0,6.0,6,2006.0,,,326,"FBI agent Neville Flynn boards a flight from Honolulu, Hawaii to Los Angeles, escorting a key witness to testify against a mob boss at an upcoming trial. An on-board assassin releases a crate full of hundreds of deadly venomous snakes in an attempt to eliminate the witness. Flynn and a host of frightened passengers and crew must band together to survive the slithery threat.","Action, Crime, Thriller, Adventure",2006-08-17,5.4,1710,https://www.themoviedb.org/movie/326
